,route,order_date,order_flow
335,上海-南京,2015-12-02,20.0
336,上海-南京,2015-12-03,50.0
337,上海-南京,2015-12-04,127.0
338,上海-南京,2015-12-05,22.0
339,上海-南京,2015-12-06,0.0
340,上海-南京,2015-12-07,19.0
341,上海-南京,2015-12-08,8.0
342,上海-南京,2015-12-09,38.0
343,上海-南京,2015-12-10,9.0
344,上海-南京,2015-12-11,28.0
345,上海-南京,2015-12-12,18.0
346,上海-南京,2015-12-13,21.0
347,上海-南京,2015-12-14,29.0
348,上海-南京,2015-12-15,42.0
349,上海-南京,2015-12-16,31.0
350,上海-南京,2015-12-17,61.0
351,上海-南京,2015-12-18,29.0
352,上海-南京,2015-12-19,25.0
353,上海-南京,2015-12-20,10.0
354,上海-南京,2015-12-21,68.0
355,上海-南京,2015-12-22,34.0
356,上海-南京,2015-12-23,26.0
357,上海-南京,2015-12-24,42.0
358,上海-南京,2015-12-25,14.0
359,上海-南京,2015-12-26,4.0
360,上海-南京,2015-12-27,0.0
361,上海-南京,2015-12-28,28.0
362,上海-南京,2015-12-29,43.0
363,上海-南京,2015-12-30,66.0
364,上海-南京,2015-12-31,76.0
365,上海-南京,2016-01-01,47.0
366,上海-南京,2016-01-02,2.0
367,上海-南京,2016-01-03,11.0
368,上海-南京,2016-01-04,41.0
369,上海-南京,2016-01-05,40.0
370,上海-南京,2016-01-06,66.0
371,上海-南京,2016-01-07,50.0
372,上海-南京,2016-01-08,70.0
373,上海-南京,2016-01-09,31.0
374,上海-南京,2016-01-10,4.0
375,上海-南京,2016-01-11,52.0
376,上海-南京,2016-01-12,50.0
377,上海-南京,2016-01-13,26.0
378,上海-南京,2016-01-14,43.0
379,上海-南京,2016-01-15,25.0
380,上海-南京,2016-01-16,76.0
381,上海-南京,2016-01-17,14.0
382,上海-南京,2016-01-18,40.0
383,上海-南京,2016-01-19,36.0
384,上海-南京,2016-01-20,10.0
385,上海-南京,2016-01-21,25.0
386,上海-南京,2016-01-22,72.0
387,上海-南京,2016-01-23,74.0
388,上海-南京,2016-01-24,14.0
389,上海-南京,2016-01-25,47.0
390,上海-南京,2016-01-26,26.0
391,上海-南京,2016-01-27,22.0
392,上海-南京,2016-01-28,30.0
393,上海-南京,2016-01-29,33.0
394,上海-南京,2016-01-30,41.0
395,上海-南京,2016-01-31,9.0
396,上海-南京,2016-02-01,32.0
397,上海-南京,2016-02-02,55.0
398,上海-南京,2016-02-03,56.0
399,上海-南京,2016-02-04,105.0
400,上海-南京,2016-02-05,59.0
401,上海-南京,2016-02-06,31.0
402,上海-南京,2016-02-07,21.0
403,上海-南京,2016-02-08,0.0
404,上海-南京,2016-02-09,0.0
405,上海-南京,2016-02-10,0.0
406,上海-南京,2016-02-11,114.0
407,上海-南京,2016-02-12,39.0
408,上海-南京,2016-02-13,0.0
409,上海-南京,2016-02-14,18.0
410,上海-南京,2016-02-15,33.0
411,上海-南京,2016-02-16,35.0
412,上海-南京,2016-02-17,14.0
413,上海-南京,2016-02-18,24.0
414,上海-南京,2016-02-19,26.0
415,上海-南京,2016-02-20,1.0
416,上海-南京,2016-02-21,2.0
417,上海-南京,2016-02-22,33.0
418,上海-南京,2016-02-23,88.0
419,上海-南京,2016-02-24,32.0
420,上海-南京,2016-02-25,31.0
421,上海-南京,2016-02-26,85.0
422,上海-南京,2016-02-27,6.0
423,上海-南京,2016-02-28,0.0
424,上海-南京,2016-02-29,48.0
425,上海-南京,2016-03-01,38.0
426,上海-南京,2016-03-02,1.0
427,上海-南京,2016-03-03,25.0
428,上海-南京,2016-03-04,12.0
429,上海-南京,2016-03-05,17.0
430,上海-南京,2016-03-06,0.0
431,上海-南京,2016-03-07,68.0
432,上海-南京,2016-03-08,43.0
433,上海-南京,2016-03-09,46.0
434,上海-南京,2016-03-10,22.0
435,上海-南京,2016-03-11,20.0
436,上海-南京,2016-03-12,0.0
437,上海-南京,2016-03-13,0.0
438,上海-南京,2016-03-14,4.0
439,上海-南京,2016-03-15,109.0
440,上海-南京,2016-03-16,15.0
441,上海-南京,2016-03-17,70.0
442,上海-南京,2016-03-18,105.0
443,上海-南京,2016-03-19,9.0
444,上海-南京,2016-03-20,2.0
445,上海-南京,2016-03-21,64.0
446,上海-南京,2016-03-22,12.0
447,上海-南京,2016-03-23,170.0
448,上海-南京,2016-03-24,62.0
449,上海-南京,2016-03-25,46.0
450,上海-南京,2016-03-26,17.0
451,上海-南京,2016-03-27,0.0
452,上海-南京,2016-03-28,21.0
453,上海-南京,2016-03-29,105.0
454,上海-南京,2016-03-30,21.0
455,上海-南京,2016-03-31,95.0
456,上海-南京,2016-04-01,27.0
457,上海-南京,2016-04-02,0.0
458,上海-南京,2016-04-03,0.0
459,上海-南京,2016-04-04,0.0
460,上海-南京,2016-04-05,16.0
461,上海-南京,2016-04-06,13.0
462,上海-南京,2016-04-07,22.0
463,上海-南京,2016-04-08,65.0
464,上海-南京,2016-04-09,11.0
465,上海-南京,2016-04-10,0.0
466,上海-南京,2016-04-11,36.0
467,上海-南京,2016-04-12,94.0
468,上海-南京,2016-04-13,26.0
469,上海-南京,2016-04-14,25.0
470,上海-南京,2016-04-15,95.0
471,上海-南京,2016-04-16,1.0
472,上海-南京,2016-04-17,0.0
473,上海-南京,2016-04-18,10.0
474,上海-南京,2016-04-19,80.0
475,上海-南京,2016-04-20,78.0
476,上海-南京,2016-04-21,7.0
477,上海-南京,2016-04-22,72.0
478,上海-南京,2016-04-23,36.0
479,上海-南京,2016-04-24,1.0
480,上海-南京,2016-04-25,27.0
481,上海-南京,2016-04-26,21.0
482,上海-南京,2016-04-27,126.0
483,上海-南京,2016-04-28,40.0
484,上海-南京,2016-04-29,74.0
485,上海-南京,2016-04-30,15.0
486,上海-南京,2016-05-01,0.0
487,上海-南京,2016-05-02,2.0
488,上海-南京,2016-05-03,70.0
489,上海-南京,2016-05-04,27.0
490,上海-南京,2016-05-05,31.0
491,上海-南京,2016-05-06,52.0
492,上海-南京,2016-05-07,68.0
493,上海-南京,2016-05-08,3.0
494,上海-南京,2016-05-09,31.0
495,上海-南京,2016-05-10,127.0
496,上海-南京,2016-05-11,66.0
497,上海-南京,2016-05-12,32.0
498,上海-南京,2016-05-13,6.0
499,上海-南京,2016-05-14,0.0
500,上海-南京,2016-05-15,0.0
501,上海-南京,2016-05-16,47.0
502,上海-南京,2016-05-17,29.0
503,上海-南京,2016-05-18,24.0
504,上海-南京,2016-05-19,50.0
505,上海-南京,2016-05-20,21.0
506,上海-南京,2016-05-21,6.0
507,上海-南京,2016-05-22,0.0
508,上海-南京,2016-05-23,58.0
509,上海-南京,2016-05-24,57.0
510,上海-南京,2016-05-25,36.0
511,上海-南京,2016-05-26,31.0
512,上海-南京,2016-05-27,78.0
513,上海-南京,2016-05-28,30.0
514,上海-南京,2016-05-29,1.0
515,上海-南京,2016-05-30,89.0
516,上海-南京,2016-05-31,111.0
517,上海-南京,2016-06-01,19.0
518,上海-南京,2016-06-02,9.0
519,上海-南京,2016-06-03,33.0
520,上海-南京,2016-06-04,4.0
521,上海-南京,2016-06-05,1.0
522,上海-南京,2016-06-06,51.0
523,上海-南京,2016-06-07,86.0
524,上海-南京,2016-06-08,80.0
525,上海-南京,2016-06-09,0.0
526,上海-南京,2016-06-10,0.0
527,上海-南京,2016-06-11,0.0
528,上海-南京,2016-06-12,0.0
529,上海-南京,2016-06-13,47.0
530,上海-南京,2016-06-14,56.0
531,上海-南京,2016-06-15,1.0
532,上海-南京,2016-06-16,76.0
533,上海-南京,2016-06-17,8.0
534,上海-南京,2016-06-18,0.0
535,上海-南京,2016-06-19,0.0
536,上海-南京,2016-06-20,7.0
537,上海-南京,2016-06-21,37.0
538,上海-南京,2016-06-22,55.0
539,上海-南京,2016-06-23,47.0
540,上海-南京,2016-06-24,59.0
541,上海-南京,2016-06-25,30.0
542,上海-南京,2016-06-26,0.0
543,上海-南京,2016-06-27,12.0
544,上海-南京,2016-06-28,100.0
545,上海-南京,2016-06-29,87.0
546,上海-南京,2016-06-30,72.0
547,上海-南京,2016-07-01,16.0
548,上海-南京,2016-07-02,0.0
549,上海-南京,2016-07-03,0.0
550,上海-南京,2016-07-04,3.0
551,上海-南京,2016-07-05,6.0
552,上海-南京,2016-07-06,26.0
