,route,order_date,order_flow
329,上海-上海,2015-11-26,364.0
330,上海-上海,2015-11-27,406.0
331,上海-上海,2015-11-28,139.0
332,上海-上海,2015-11-29,75.0
333,上海-上海,2015-11-30,427.0
334,上海-上海,2015-12-01,232.0
335,上海-上海,2015-12-02,271.0
336,上海-上海,2015-12-03,292.0
337,上海-上海,2015-12-04,335.0
338,上海-上海,2015-12-05,95.0
339,上海-上海,2015-12-06,20.0
340,上海-上海,2015-12-07,376.0
341,上海-上海,2015-12-08,176.0
342,上海-上海,2015-12-09,445.0
343,上海-上海,2015-12-10,405.0
344,上海-上海,2015-12-11,414.0
345,上海-上海,2015-12-12,49.0
346,上海-上海,2015-12-13,12.0
347,上海-上海,2015-12-14,298.0
348,上海-上海,2015-12-15,332.0
349,上海-上海,2015-12-16,274.0
350,上海-上海,2015-12-17,209.0
351,上海-上海,2015-12-18,423.0
352,上海-上海,2015-12-19,58.0
353,上海-上海,2015-12-20,41.0
354,上海-上海,2015-12-21,433.0
355,上海-上海,2015-12-22,1774.0
356,上海-上海,2015-12-23,1904.0
357,上海-上海,2015-12-24,970.0
358,上海-上海,2015-12-25,1262.0
359,上海-上海,2015-12-26,613.0
360,上海-上海,2015-12-27,52.0
361,上海-上海,2015-12-28,2343.0
362,上海-上海,2015-12-29,3185.0
363,上海-上海,2015-12-30,3111.0
364,上海-上海,2015-12-31,1336.0
365,上海-上海,2016-01-01,590.0
366,上海-上海,2016-01-02,29.0
367,上海-上海,2016-01-03,63.0
368,上海-上海,2016-01-04,504.0
369,上海-上海,2016-01-05,397.0
370,上海-上海,2016-01-06,336.0
371,上海-上海,2016-01-07,153.0
372,上海-上海,2016-01-08,517.0
373,上海-上海,2016-01-09,26.0
374,上海-上海,2016-01-10,23.0
375,上海-上海,2016-01-11,295.0
376,上海-上海,2016-01-12,269.0
377,上海-上海,2016-01-13,461.0
378,上海-上海,2016-01-14,316.0
379,上海-上海,2016-01-15,383.0
380,上海-上海,2016-01-16,179.0
381,上海-上海,2016-01-17,23.0
382,上海-上海,2016-01-18,400.0
383,上海-上海,2016-01-19,233.0
384,上海-上海,2016-01-20,386.0
385,上海-上海,2016-01-21,95.0
386,上海-上海,2016-01-22,657.0
387,上海-上海,2016-01-23,32.0
388,上海-上海,2016-01-24,4.0
389,上海-上海,2016-01-25,378.0
390,上海-上海,2016-01-26,242.0
391,上海-上海,2016-01-27,192.0
392,上海-上海,2016-01-28,299.0
393,上海-上海,2016-01-29,360.0
394,上海-上海,2016-01-30,29.0
395,上海-上海,2016-01-31,19.0
396,上海-上海,2016-02-01,197.0
397,上海-上海,2016-02-02,144.0
398,上海-上海,2016-02-03,139.0
399,上海-上海,2016-02-04,132.0
400,上海-上海,2016-02-05,134.0
401,上海-上海,2016-02-06,100.0
402,上海-上海,2016-02-07,11.0
403,上海-上海,2016-02-08,0.0
404,上海-上海,2016-02-09,0.0
405,上海-上海,2016-02-10,0.0
406,上海-上海,2016-02-11,0.0
407,上海-上海,2016-02-12,0.0
408,上海-上海,2016-02-13,0.0
409,上海-上海,2016-02-14,300.0
410,上海-上海,2016-02-15,353.0
411,上海-上海,2016-02-16,428.0
412,上海-上海,2016-02-17,273.0
413,上海-上海,2016-02-18,228.0
414,上海-上海,2016-02-19,229.0
415,上海-上海,2016-02-20,5.0
416,上海-上海,2016-02-21,23.0
417,上海-上海,2016-02-22,386.0
418,上海-上海,2016-02-23,300.0
419,上海-上海,2016-02-24,235.0
420,上海-上海,2016-02-25,182.0
421,上海-上海,2016-02-26,315.0
422,上海-上海,2016-02-27,14.0
423,上海-上海,2016-02-28,26.0
424,上海-上海,2016-02-29,428.0
425,上海-上海,2016-03-01,298.0
426,上海-上海,2016-03-02,157.0
427,上海-上海,2016-03-03,184.0
428,上海-上海,2016-03-04,293.0
429,上海-上海,2016-03-05,3.0
430,上海-上海,2016-03-06,1.0
431,上海-上海,2016-03-07,313.0
432,上海-上海,2016-03-08,149.0
433,上海-上海,2016-03-09,154.0
434,上海-上海,2016-03-10,118.0
435,上海-上海,2016-03-11,271.0
436,上海-上海,2016-03-12,19.0
437,上海-上海,2016-03-13,0.0
438,上海-上海,2016-03-14,285.0
439,上海-上海,2016-03-15,229.0
440,上海-上海,2016-03-16,373.0
441,上海-上海,2016-03-17,209.0
442,上海-上海,2016-03-18,235.0
443,上海-上海,2016-03-19,8.0
444,上海-上海,2016-03-20,12.0
445,上海-上海,2016-03-21,452.0
446,上海-上海,2016-03-22,130.0
447,上海-上海,2016-03-23,292.0
448,上海-上海,2016-03-24,435.0
449,上海-上海,2016-03-25,466.0
450,上海-上海,2016-03-26,6.0
451,上海-上海,2016-03-27,8.0
452,上海-上海,2016-03-28,226.0
453,上海-上海,2016-03-29,242.0
454,上海-上海,2016-03-30,148.0
455,上海-上海,2016-03-31,200.0
456,上海-上海,2016-04-01,196.0
457,上海-上海,2016-04-02,0.0
458,上海-上海,2016-04-03,1.0
459,上海-上海,2016-04-04,0.0
460,上海-上海,2016-04-05,169.0
461,上海-上海,2016-04-06,59.0
462,上海-上海,2016-04-07,209.0
463,上海-上海,2016-04-08,133.0
464,上海-上海,2016-04-09,28.0
465,上海-上海,2016-04-10,5.0
466,上海-上海,2016-04-11,484.0
467,上海-上海,2016-04-12,182.0
468,上海-上海,2016-04-13,307.0
469,上海-上海,2016-04-14,86.0
470,上海-上海,2016-04-15,333.0
471,上海-上海,2016-04-16,1.0
472,上海-上海,2016-04-17,12.0
473,上海-上海,2016-04-18,398.0
474,上海-上海,2016-04-19,406.0
475,上海-上海,2016-04-20,153.0
476,上海-上海,2016-04-21,206.0
477,上海-上海,2016-04-22,274.0
478,上海-上海,2016-04-23,5.0
479,上海-上海,2016-04-24,0.0
480,上海-上海,2016-04-25,245.0
481,上海-上海,2016-04-26,257.0
482,上海-上海,2016-04-27,357.0
483,上海-上海,2016-04-28,434.0
484,上海-上海,2016-04-29,157.0
485,上海-上海,2016-04-30,2.0
486,上海-上海,2016-05-01,0.0
487,上海-上海,2016-05-02,0.0
488,上海-上海,2016-05-03,228.0
489,上海-上海,2016-05-04,166.0
490,上海-上海,2016-05-05,156.0
491,上海-上海,2016-05-06,244.0
492,上海-上海,2016-05-07,13.0
493,上海-上海,2016-05-08,0.0
494,上海-上海,2016-05-09,364.0
495,上海-上海,2016-05-10,82.0
496,上海-上海,2016-05-11,166.0
497,上海-上海,2016-05-12,235.0
498,上海-上海,2016-05-13,109.0
499,上海-上海,2016-05-14,6.0
500,上海-上海,2016-05-15,1.0
501,上海-上海,2016-05-16,295.0
502,上海-上海,2016-05-17,261.0
503,上海-上海,2016-05-18,114.0
504,上海-上海,2016-05-19,308.0
505,上海-上海,2016-05-20,188.0
506,上海-上海,2016-05-21,2.0
507,上海-上海,2016-05-22,0.0
508,上海-上海,2016-05-23,214.0
509,上海-上海,2016-05-24,225.0
510,上海-上海,2016-05-25,201.0
511,上海-上海,2016-05-26,249.0
512,上海-上海,2016-05-27,238.0
513,上海-上海,2016-05-28,1.0
514,上海-上海,2016-05-29,0.0
515,上海-上海,2016-05-30,385.0
516,上海-上海,2016-05-31,230.0
517,上海-上海,2016-06-01,135.0
518,上海-上海,2016-06-02,232.0
519,上海-上海,2016-06-03,173.0
520,上海-上海,2016-06-04,2.0
521,上海-上海,2016-06-05,0.0
522,上海-上海,2016-06-06,278.0
523,上海-上海,2016-06-07,173.0
524,上海-上海,2016-06-08,107.0
525,上海-上海,2016-06-09,1.0
526,上海-上海,2016-06-10,0.0
527,上海-上海,2016-06-11,0.0
528,上海-上海,2016-06-12,249.0
529,上海-上海,2016-06-13,203.0
530,上海-上海,2016-06-14,236.0
531,上海-上海,2016-06-15,166.0
532,上海-上海,2016-06-16,295.0
533,上海-上海,2016-06-17,117.0
534,上海-上海,2016-06-18,3.0
535,上海-上海,2016-06-19,5.0
536,上海-上海,2016-06-20,163.0
537,上海-上海,2016-06-21,191.0
538,上海-上海,2016-06-22,218.0
539,上海-上海,2016-06-23,342.0
540,上海-上海,2016-06-24,184.0
541,上海-上海,2016-06-25,30.0
542,上海-上海,2016-06-26,29.0
543,上海-上海,2016-06-27,352.0
544,上海-上海,2016-06-28,231.0
545,上海-上海,2016-06-29,123.0
546,上海-上海,2016-06-30,175.0
547,上海-上海,2016-07-01,54.0
548,上海-上海,2016-07-02,0.0
549,上海-上海,2016-07-03,0.0
550,上海-上海,2016-07-04,230.0
551,上海-上海,2016-07-05,222.0
552,上海-上海,2016-07-06,94.0
553,上海-上海,2016-07-07,209.0
554,上海-上海,2016-07-08,305.0
555,上海-上海,2016-07-09,0.0
556,上海-上海,2016-07-10,1.0
557,上海-上海,2016-07-11,219.0
558,上海-上海,2016-07-12,276.0
559,上海-上海,2016-07-13,162.0
560,上海-上海,2016-07-14,156.0
561,上海-上海,2016-07-15,206.0
562,上海-上海,2016-07-16,1.0
563,上海-上海,2016-07-17,0.0
564,上海-上海,2016-07-18,164.0
565,上海-上海,2016-07-19,213.0
566,上海-上海,2016-07-20,53.0
567,上海-上海,2016-07-21,147.0
568,上海-上海,2016-07-22,256.0
569,上海-上海,2016-07-23,0.0
570,上海-上海,2016-07-24,0.0
571,上海-上海,2016-07-25,481.0
572,上海-上海,2016-07-26,211.0
573,上海-上海,2016-07-27,269.0
574,上海-上海,2016-07-28,274.0
575,上海-上海,2016-07-29,100.0
576,上海-上海,2016-07-30,4.0
577,上海-上海,2016-07-31,0.0
578,上海-上海,2016-08-01,423.0
579,上海-上海,2016-08-02,128.0
580,上海-上海,2016-08-03,161.0
581,上海-上海,2016-08-04,220.0
582,上海-上海,2016-08-05,201.0
583,上海-上海,2016-08-06,5.0
584,上海-上海,2016-08-07,3.0
585,上海-上海,2016-08-08,257.0
586,上海-上海,2016-08-09,272.0
587,上海-上海,2016-08-10,142.0
588,上海-上海,2016-08-11,233.0
589,上海-上海,2016-08-12,165.0
590,上海-上海,2016-08-13,2.0
591,上海-上海,2016-08-14,0.0
592,上海-上海,2016-08-15,203.0
